('1249', 'citrus fruit')
('1381', 'curd')
('1381', 'soda')
('1440', 'other vegetables')
('1789', 'candles')
('2351', 'shopping bags')
('2542', 'sliced cheese')
('2542', 'bottled water')
('2610', 'domestic eggs')
('2709', 'yogurt')
('2709', 'frozen vegetables')
('2727', 'hamburger meat')
('2727', 'frozen potato products')
('2943', 'whole milk')
('2974', 'berries')
('2974', 'bottled water')
('3681', 'onions')
('3797', 'whole milk')
('3942', 'other vegetables')
('3956', 'shopping bags')
('3956', 'chocolate')
('4260', 'soda')
('4260', 'brown bread')
('4942', 'frozen vegetables')
('1248', 'butter')
('1365', 'frozen vegetables')
('1528', 'tropical fruit')
('1814', 'sparkling wine')
('1870', 'fruit/vegetable juice')
('1870', 'napkins')
('2020', 'beef')
('2043', 'waffles')
('2311', 'canned beer')
('2472', 'other vegetables')
('2480', 'citrus fruit')
('2828', 'meat')
('3130', 'yogurt')
('3178', 'butter')
('3178', 'candy')
('3259', 'soda')
('3259', 'dishes')
('3641', 'soft cheese')
('3692', 'misc. beverages')
('3977', 'butter milk')
('3977', 'oil')
('3977', 'frozen meals')
('4014', 'soda')
('4014', 'shopping bags')
('4364', 'yogurt')
('4408', 'frozen fish')
('4450', 'condensed milk')
('4847', 'soda')
('4847', 'other vegetables')
('1253', 'liqueur')
('1529', 'preservation products')
('2065', 'sausage')
('2065', 'white bread')
('2480', 'other vegetables')
('2480', 'soda')
('2991', 'waffles')
('3197', 'margarine')
('3227', 'spices')
('3227', 'cat food')
('3227', 'seasonal products')
('3313', 'hard cheese')
('3698', 'yogurt')
('3761', 'meat')
('3761', 'domestic eggs')
('3831', 'bottled water')
('4249', 'canned beer')
('4249', 'shopping bags')
('4280', 'specialty chocolate')
('4382', 'fruit/vegetable juice')
('4440', 'butter milk')
('4440', 'newspapers')
('4520', 'brown bread')
('1165', 'beef')
('1165', 'house keeping products')
('1500', 'fruit/vegetable juice')
('1545', 'brown bread')
('1545', 'hair spray')
('1616', 'frankfurter')
('1883', 'whole milk')
('2092', 'salty snack')
('2092', 'canned fish')
('2138', 'white bread')
('2185', 'rolls/buns')
('2185', 'flour')
('2535', 'rolls/buns')
('2641', 'brown bread')
('2760', 'domestic eggs')
('2760', 'long life bakery product')
('2809', 'berries')
('3007', 'rolls/buns')
('3077', 'root vegetables')
('3133', 'yogurt')
('3382', 'yogurt')
('3382', 'pastry')
('3830', 'margarine')
('4157', 'salty snack')
('4157', 'frozen meals')
('4204', 'pastry')
('4204', 'white bread')
('4745', 'cat food')
('4745', 'soda')
('4758', 'rolls/buns')
('4758', 'bottled beer')
