('Member_number', 'itemDescription')
('1249', 'coffee')
('1440', 'yogurt')
('1659', 'specialty chocolate')
('1659', 'frozen vegetables')
('1789', 'hamburger meat')
('1922', 'tropical fruit')
('1922', 'other vegetables')
('2226', 'sausage')
('2226', 'bottled water')
('2237', 'bottled water')
('2237', 'Instant food products')
('2351', 'cleaner')
('2610', 'hamburger meat')
('2610', 'bottled beer')
('2943', 'flower (seeds)')
('2974', 'whipped/sour cream')
('3681', 'whipped/sour cream')
('3681', 'dishes')
('3797', 'waffles')
('3942', 'yogurt')
('3942', 'Instant food products')
('3956', 'yogurt')
('3956', 'waffles')
('4942', 'butter')
('1066', 'root vegetables')
('1066', 'bottled beer')
('1248', 'chicken')
('1265', 'other vegetables')
('1265', 'whole milk')
('1265', 'soda')
('1365', 'specialty bar')
('1528', 'frozen vegetables')
('1814', 'frankfurter')
('2020', 'fruit/vegetable juice')
('2043', 'brown bread')
('2311', 'pastry')
('2472', 'white bread')
('2480', 'pickled vegetables')
('2828', 'curd')
('3130', 'ice cream')
('3538', 'waffles')
('3538', 'yogurt')
('3641', 'root vegetables')
('3692', 'frozen dessert')
('3977', 'brown bread')
('4364', 'brown bread')
('4408', 'pip fruit')
('4450', 'beef')
('4666', 'frozen vegetables')
('4666', 'dessert')
('4860', 'sugar')
('4860', 'cream cheese ')
('4907', 'rolls/buns')
('4907', 'whipped/sour cream')
('4907', 'bottled beer')
('4933', 'hard cheese')
('4933', 'bottled water')
('1171', 'soda')
('1171', 'whipped/sour cream')
('1253', 'pastry')
('1529', 'soups')
('1899', 'other vegetables')
('1899', 'brown bread')
('2459', 'curd')
('2459', 'whipped/sour cream')
('2480', 'salty snack')
('2538', 'berries')
('2538', 'pastry')
('2910', 'sugar')
('2910', 'processed cheese')
('2963', 'pickled vegetables')
('2963', 'bottled water')
('2991', 'root vegetables')
('2991', 'soda')
('3197', 'sausage')
('3294', 'root vegetables')
('3294', 'other vegetables')
('3313', 'bottled beer')
('3698', 'shopping bags')
('3831', 'soda')
('3831', 'whipped/sour cream')
('4280', 'soda')
('4280', 'margarine')
('4335', 'whole milk')
('4335', 'canned beer')
('4382', 'spices')
('4520', 'mustard')
('1500', 'bottled beer')
('1616', 'prosecco')
('1883', 'frankfurter')
('2138', 'seasonal products')
('2428', 'whole milk')
('2428', 'soda')
('2477', 'root vegetables')
('2477', 'soda')
('2535', 'sausage')
('2641', 'male cosmetics')
('2760', 'whole milk')
('2760', 'rolls/buns')
('2809', 'bottled beer')
('2925', 'male cosmetics')
('2925', 'oil')
('3007', 'yogurt')
('3077', 'domestic eggs')
('3133', 'whipped/sour cream')
('3284', 'canned fish')
('3284', 'coffee')
('3382', 'cat food')
('3382', 'bottled beer')
('3765', 'tropical fruit')
('3765', 'whole milk')
('3765', 'margarine')
('3765', 'bottled beer')
('3830', 'domestic eggs')
('4726', 'rolls/buns')
('4726', 'whole milk')
('4758', 'white bread')
('4799', 'dessert')
